time,latitude,longitude,depth,mag
2021-10-23T04:28:00.420Z,38.8288345,-122.8008347,1.85,2.73
2021-10-23T04:26:26.910Z,38.828167,-122.8010025,1.56,3.23
2021-10-23T04:25:42.599Z,63.0524,-149.729,74.4,2.1
2021-10-23T04:16:05.320Z,17.9065,-66.9158,11,2.13
2021-10-23T03:56:02.777Z,63.1213,-150.9871,124.8,1.8
2021-10-23T03:53:53.419Z,64.7848,-149.202,16.6,1.8
2021-10-23T03:52:36.610Z,19.15433311,-155.4873352,30.26000023,1.83
2021-10-23T03:51:55.820Z,34.0135,-117.5211667,6.2,1.25
2021-10-23T03:45:26.120Z,37.5975,-118.8288333,3.64,0.94
2021-10-23T03:39:21.300Z,19.17416573,-155.5031738,35.65000153,2.31
